C++ Tutorial for Beginners - Full Course,freeCodeCamp.org,241:18,240000,https://www.youtube.com/watch?v=vLnPwxZdW4Y
C++ Programming Course - Beginner to Advanced,freeCodeCamp.org,1867:30,29000,https://www.youtube.com/watch?v=8jLOx1hD3_o
